Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 2

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	4	6
4	1	2	3	6	8
5	2	3	4	5	6
6	2	3	4	5	7
7	2	3	4	5	7
8	2	3	4	8	9
9	3	4	5	7	8
10	3	4	5	10	11
11	3	4	5	7	9
12	3	4	5	10	11
13	4	5	7	12	13
14	4	5	7	14	15
15	4	5	8	12	13
16	4	5	8	16	17
17	5	6	9	11	12
18	5	6	9	16	18
19	5	6	10	13	15
20	5	6	10	11	12
21	6	7	11	12	14
22	6	7	11	12	14
23	6	7	13	14	16
24	6	7	13	17	19
25	7	8	14	15	16
26	7	8	14	15	17
27	7	8	15	16	18
28	7	8	15	17	19
29	8	9	16	17	20
30	8	9	16	18	20
31	8	9	17	19	21
32	8	9	17	18	21
33	9	10	18	19	22
34	9	10	18	22	23
35	9	10	19	20	22
36	9	10	19	22	24
37	10	11	20	21	23
38	10	11	20	23	25
39	10	11	21	22	24
40	10	11	21	23	25
41	11	12	22	25	26
42	11	12	22	23	26
43	11	12	23	25	27
44	11	12	23	25	27
45	12	13	24	25	28
46	12	13	24	29	30
47	12	13	25	31	32
48	12	13	25	26	28
49	13	14	26	27	29
50	13	14	26	31	32
51	13	14	27	28	29
52	13	14	27	31	33
53	14	15	28	29	30
54	14	15	28	29	31
55	14	15	29	32	34
56	14	15	29	35	36
57	15	16	30	31	33
58	15	16	30	32	34
59	15	16	31	35	36
60	15	16	31	37	39
61	16	17	32	33	35
62	16	17	32	33	35
63	16	17	33	36	38
64	16	17	34	35	37
65	17	18	34	35	37
66	17	18	35	36	38
67	17	18	35	36	39
68	17	18	36	39	41
69	18	19	36	37	40
70	18	19	37	39	41
71	18	19	37	38	40
72	18	19	38	40	42
73	19	20	38	39	42
74	19	20	39	40	43
75	19	20	39	43	44
76	19	20	40	41	43
77	20	21	40	43	45
78	20	21	41	42	44
79	20	21	41	44	46
80	20	21	42	43	45
81	21	22	42	44	46
82	21	22	43	46	47
83	21	22	43	44	47
84	21	22	44	46	48
85	22	23	44	46	48
86	22	23	45	47	49
87	22	23	45	46	49
88	22	23	46	47	50
89	23	24	46	50	51
90	23	24	47	48	50
91	23	24	47	50	52
92	23	24	48	49	51
93	24	25	48	51	53
94	24	25	49	50	52
95	24	25	49	51	53
96	24	25	50	53	54
97	25	26	50	51	54
98	25	26	51	53	55
99	25	26	51	53	55
100	25	26	52	54	56
101	26	27	52	53	56
102	26	27	53	54	57
103	26	27	53	57	58
104	26	27	54	55	57
105	27	28	54	57	59
106	27	28	55	56	58
107	27	28	55	58	60
108	27	28	56	57	59
109	28	29	56	58	60
110	28	29	57	60	61
111	28	29	57	58	61
112	28	29	58	60	62
113	29	30	58	60	62
114	29	30	59	61	63
115	29	30	59	60	63
116	29	30	60	61	64
117	30	31	60	64	65
118	30	31	61	62	64
119	30	31	61	64	66
120	30	31	62	63	65
121	31	32	62	65	67
122	31	32	63	64	66
123	31	32	63	65	67
124	31	32	64	67	68
125	32	33	64	65	68
126	32	33	65	67	69
127	32	33	65	67	69
128	32	33	66	68	70
129	33	34	66	67	70
130	33	34	67	68	71
131	33	34	67	71	72
132	33	34	68	69	71
133	34	35	68	71	73
134	34	35	69	70	72
135	34	35	69	72	74
136	34	35	70	71	73
137	35	36	70	72	74
138	35	36	71	74	75
139	35	36	71	72	75
140	35	36	72	74	76
141	36	37	72	74	76
142	36	37	73	75	77
143	36	37	73	74	77
144	36	37	74	75	78
145	37	38	74	78	80
146	37	38	75	76	78
147	37	38	75	78	80
148	37	38	76	77	79
149	38	39	76	77	79
150	38	39	77	80	82
151	38	39	77	83	84
152	38	39	78	79	81
153	39	40	78	79	81
154	39	40	79	82	83
155	39	40	79	80	82
156	39	40	80	81	83
157	40	41	80	84	86
158	40	41	81	83	84
159	40	41	81	83	85
160	40	41	82	83	85
161	41	42	82	83	86
162	41	42	83	84	87
163	41	42	83	88	90
164	41	42	84	91	93
165	42	43	84	87	88
166	42	43	85	87	88
167	42	43	85	89	90
168	42	43	86	87	89
169	43	44	86	87	89
170	43	44	87	90	91
171	43	44	87	90	91
172	43	44	88	90	92
173	44	45	88	90	92
174	44	45	89	90	93
175	44	45	90	92	94
176	44	45	90	91	94
177	45	46	91	92	95
178	45	46	91	95	97
179	45	46	92	93	95
180	45	46	92	95	97
181	46	47	93	94	96
182	46	47	93	94	96
183	46	47	94	97	99
184	46	47	94	100	101
185	47	48	95	96	98
186	47	48	95	96	98
187	47	48	96	99	100
188	47	48	96	97	99
189	48	49	97	98	100
190	48	49	97	101	103
191	48	49	98	100	101
192	48	49	98	100	102
193	49	50	99	100	102
194	49	50	99	100	103
195	49	50	100	101	104
196	49	50	100	105	107
197	50	51	101	108	110
198	50	51	101	104	105
199	50	51	102	104	105
200	50	51	102	106	107
201	51	52	103	104	106
202	51	52	103	104	106
203	51	52	104	107	108
204	51	52	104	107	108
205	52	53	105	107	109
206	52	53	105	107	109
207	52	53	106	107	110
208	52	53	107	108	111
209	53	54	107	112	113
210	53	54	108	114	116
211	53	54	108	109	111
212	53	54	109	110	112
213	54	55	109	113	114
214	54	55	110	111	112
215	54	55	110	111	113
216	54	55	111	114	116
217	55	56	111	113	114
218	55	56	112	113	115
219	55	56	112	113	115
220	55	56	113	114	117
221	56	57	113	115	117
222	56	57	114	118	119
223	56	57	114	120	121
224	56	57	115	117	118
225	57	58	115	117	118
226	57	58	116	120	121
227	57	58	116	117	119
228	57	58	117	120	122
229	58	59	117	118	120
230	58	59	118	119	120
231	58	59	118	121	123
232	58	59	119	124	126
233	59	60	119	120	122
234	59	60	120	123	124
235	59	60	120	125	127
236	59	60	121	122	123
237	60	61	121	123	124
238	131	132	133	134	135
239	131	132	133	134	135
240	131	132	133	136	137
241	131	132	133	134	136
242	132	133	134	136	138
243	132	133	134	135	136
244	132	133	134	135	137
245	132	133	134	138	139
246	133	134	135	140	141
247	133	134	135	136	138
248	133	134	135	137	139
249	133	134	135	140	142
250	134	135	137	138	140
251	134	135	137	141	142
252	134	135	138	139	140
253	134	135	138	139	141
254	135	136	139	142	143
255	135	136	139	144	146
256	135	136	140	141	143
257	135	136	140	143	144
258	136	137	141	145	147
259	136	137	141	142	144
260	136	137	142	143	145
261	136	137	142	143	145
262	137	138	143	144	146
263	137	138	143	146	148
264	137	138	144	145	147
265	137	138	144	145	148
266	138	139	145	146	149
267	138	139	145	149	150
268	138	139	146	151	152
269	138	139	146	151	153
270	139	140	147	148	149
271	139	140	147	148	150
272	139	140	148	149	151
273	139	140	148	149	151
274	140	141	149	150	152
275	140	141	149	153	155
276	140	141	150	151	153
277	140	141	150	151	154
278	141	142	151	152	154
279	141	142	151	156	157
280	141	142	152	154	155
281	141	142	152	158	159
282	142	143	153	158	159
283	142	143	153	160	161
284	142	143	154	160	161
285	142	143	154	162	163
286	143	144	155	158	160
287	143	144	155	162	163
288	143	144	156	164	165
289	143	144	156	157	158
290	144	145	157	164	165
291	144	145	157	159	160
292	144	145	159	160	162
293	144	145	160	164	166
294	145	146	161	162	164
295	145	146	161	167	168
296	145	146	162	166	167
297	145	146	162	166	167
298	146	147	163	168	169
299	146	147	163	170	171
300	146	147	164	172	173
301	146	147	165	174	175
302	147	148	165	174	175
303	147	148	166	167	168
304	147	148	167	168	169
305	147	148	167	168	170
306	148	149	168	169	170
307	148	149	169	170	171
308	148	149	169	170	172
309	148	149	170	171	172
310	149	150	170	171	173
311	149	150	171	173	174
312	149	150	171	174	176
313	149	150	172	173	174
314	150	151	172	175	176
315	150	151	173	177	178
316	150	151	173	179	180
317	150	151	174	176	177
318	151	152	174	181	182
319	151	152	175	176	177
320	151	152	175	178	179
321	151	152	176	177	178
322	152	153	176	183	184
323	152	153	177	178	179
324	152	153	177	185	186
325	152	153	178	179	180
326	153	154	178	179	181
327	153	154	179	181	182
328	153	154	179	183	184
329	153	154	180	187	188
330	154	155	180	189	190
331	154	155	181	189	190
332	154	155	181	182	183
333	154	155	182	185	186
334	155	156	182	183	185
335	155	156	183	191	192
336	155	156	184	189	191
337	155	156	184	185	187
338	156	157	185	192	193
339	156	157	186	187	188
340	156	157	186	194	195
341	156	157	187	190	191
342	157	158	188	192	193
343	157	158	188	194	195
344	157	158	189	196	197
345	157	158	190	196	197
346	158	159	190	198	199
347	158	159	192	193	194
348	158	159	192	198	199
349	158	159	193	198	200
350	159	160	193	201	202
351	159	160	194	195	196
352	159	160	195	196	198
353	159	160	195	200	201
354	160	161	196	197	198
355	160	161	197	201	203
356	160	161	197	203	204
357	160	161	198	199	200
358	161	162	199	200	201
359	161	162	199	200	202
360	161	162	200	201	203
361	161	162	200	204	205
362	162	163	201	206	207
363	162	163	201	206	207
364	162	163	202	208	209
365	162	163	202	206	208
366	163	164	203	204	205
367	163	164	203	208	209
368	163	164	204	209	211
369	163	164	204	205	206
370	164	165	205	207	208
371	164	165	205	209	211
372	164	165	206	211	212
373	164	165	207	208	210
374	165	166	207	208	210
375	165	166	208	211	212
376	165	166	209	212	214
377	165	166	209	211	213
378	166	167	210	211	213
379	166	167	210	214	215
380	166	167	211	214	216
381	166	167	211	212	214
382	167	168	212	214	216
383	167	168	212	213	215
384	167	168	213	214	217
385	167	168	213	217	218
386	168	169	214	215	217
387	168	169	214	218	219
388	168	169	215	219	220
389	168	169	215	218	219
390	169	170	216	218	220
391	169	170	216	217	218
392	169	170	217	219	221
393	169	170	217	220	222
394	170	171	218	220	222
395	170	171	218	219	221
396	170	171	219	220	223
397	170	171	219	222	224
398	171	172	220	221	223
399	171	172	220	224	226
400	171	172	221	222	224
401	171	172	221	222	225
402	172	173	222	223	225
403	172	173	222	226	228
404	172	173	223	224	226
405	172	173	223	227	228
406	173	174	224	225	227
407	173	174	224	225	227
408	173	174	225	227	229
409	173	174	225	228	229
410	174	175	226	230	231
411	174	175	226	230	231
412	174	175	227	229	230
413	174	175	227	232	233
414	175	176	228	232	233
415	175	176	228	230	232
416	175	176	229	234	235
417	175	176	229	234	235
418	176	177	230	232	234
419	176	177	230	236	237
420	176	177	231	236	237
421	176	177	231	234	236
422	177	178	232	238	239
423	177	178	233	238	239
424	177	178	233	236	238
425	177	178	234	240	241
