Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 2

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	6	7
4	1	2	3	6	7
5	2	3	4	8	10
6	2	3	4	11	12
7	2	3	4	5	6
8	2	3	4	7	9
9	3	4	5	6	8
10	3	4	5	6	8
11	3	4	5	10	11
12	3	4	5	6	9
13	4	5	7	12	14
14	4	5	7	8	10
15	4	5	8	11	13
16	4	5	9	10	11
17	5	6	9	10	12
18	5	6	10	11	13
19	5	6	10	11	14
20	5	6	11	15	16
21	6	7	11	13	15
22	6	7	12	14	15
23	6	7	12	15	17
24	6	7	13	18	19
25	7	8	13	14	16
26	7	8	14	17	18
27	7	8	14	18	19
28	7	8	15	16	17
29	8	9	15	16	18
30	8	9	16	19	20
31	8	9	16	19	21
32	8	9	17	18	20
33	9	10	17	20	22
34	9	10	18	20	22
35	9	10	18	19	21
36	9	10	19	21	23
37	10	11	19	22	24
38	10	11	20	22	24
39	10	11	20	21	23
40	10	11	21	22	25
41	11	12	21	23	25
42	11	12	22	24	26
43	11	12	22	23	26
44	11	12	23	24	27
45	12	13	23	26	27
46	12	13	24	28	29
47	12	13	24	27	28
48	12	13	25	26	28
49	13	14	25	29	30
50	13	14	26	28	29
51	13	14	26	31	32
52	13	14	27	30	31
53	14	15	27	32	33
54	14	15	28	29	30
55	14	15	28	29	31
56	14	15	29	30	32
57	15	16	29	31	33
58	15	16	30	34	35
59	15	16	30	32	34
60	15	16	31	33	34
61	16	17	31	34	36
62	16	17	32	37	38
63	16	17	32	33	35
64	16	17	33	36	37
65	17	18	33	37	38
66	17	18	34	35	36
67	17	18	34	35	37
68	17	18	35	38	39
69	18	19	35	38	40
70	18	19	36	37	39
71	18	19	36	39	41
72	18	19	37	39	41
73	19	20	37	38	40
74	19	20	38	40	42
75	19	20	38	41	43
76	19	20	39	41	43
77	20	21	39	40	42
78	20	21	40	41	44
79	20	21	40	42	44
80	20	21	41	43	45
81	21	22	41	42	45
82	21	22	42	43	46
83	21	22	42	45	46
84	21	22	43	47	48
85	22	23	43	46	47
86	22	23	44	45	47
87	22	23	44	48	49
88	22	23	45	47	48
89	23	24	45	50	51
90	23	24	46	49	50
91	23	24	46	51	52
92	23	24	47	48	49
93	24	25	47	48	50
94	24	25	48	49	51
95	24	25	48	50	52
96	24	25	49	53	54
97	25	26	49	51	53
98	25	26	50	52	53
99	25	26	50	53	55
100	25	26	51	56	57
101	26	27	51	52	54
102	26	27	52	55	56
103	26	27	52	56	57
104	26	27	53	54	55
105	27	28	53	54	56
106	27	28	54	57	58
107	27	28	54	57	59
108	27	28	55	56	58
109	28	29	55	58	60
110	28	29	56	58	60
111	28	29	56	57	59
112	28	29	57	59	61
113	29	30	57	60	62
114	29	30	58	60	62
115	29	30	58	59	61
116	29	30	59	60	63
117	30	31	59	61	63
118	30	31	60	62	64
119	30	31	60	61	64
120	30	31	61	62	65
121	31	32	61	64	65
122	31	32	62	66	67
123	31	32	62	65	66
124	31	32	63	64	66
125	32	33	63	67	68
126	32	33	64	66	67
127	32	33	64	69	70
128	32	33	65	68	69
129	33	34	65	70	71
130	33	34	66	67	68
131	33	34	66	67	69
132	33	34	67	68	70
133	34	35	67	69	71
134	34	35	68	72	73
135	34	35	68	70	72
136	34	35	69	71	72
137	35	36	69	72	74
138	35	36	70	75	76
139	35	36	70	71	73
140	35	36	71	74	75
141	36	37	71	75	76
142	36	37	72	73	74
143	36	37	72	73	75
144	36	37	73	76	77
145	37	38	73	76	78
146	37	38	74	75	77
147	37	38	74	77	79
148	37	38	75	77	79
149	38	39	75	76	78
150	38	39	76	78	80
151	38	39	76	79	81
152	38	39	77	79	81
153	39	40	77	78	80
154	39	40	78	79	82
155	39	40	78	80	82
156	39	40	79	81	83
157	40	41	79	80	83
158	40	41	80	81	84
159	40	41	80	83	84
160	40	41	81	85	86
161	41	42	81	84	85
162	41	42	82	83	85
163	41	42	82	86	87
164	41	42	83	85	86
165	42	43	83	88	89
166	42	43	84	87	88
167	42	43	84	89	90
168	42	43	85	86	87
169	43	44	85	86	88
170	43	44	86	87	89
171	43	44	86	88	90
172	43	44	87	91	92
173	44	45	87	89	91
174	44	45	88	90	91
175	44	45	88	91	93
176	44	45	89	94	95
177	45	46	89	90	92
178	45	46	90	93	94
179	45	46	90	94	95
180	45	46	91	92	93
181	46	47	91	92	94
182	46	47	92	95	96
183	46	47	92	95	97
184	46	47	93	94	96
185	47	48	93	96	98
186	47	48	94	96	98
187	47	48	94	95	97
188	47	48	95	97	99
189	48	49	95	98	100
190	48	49	96	98	100
191	48	49	96	97	99
192	48	49	97	98	101
193	49	50	97	99	101
194	49	50	98	100	102
195	49	50	98	100	102
196	49	50	99	102	103
197	50	51	99	101	103
198	50	51	100	103	104
199	50	51	100	102	104
200	50	51	101	104	106
201	51	52	101	103	105
202	51	52	102	103	105
203	51	52	102	104	106
204	51	52	103	104	107
205	52	53	103	104	107
206	52	53	104	105	108
207	52	53	104	106	108
208	52	53	105	108	109
209	53	54	105	108	110
210	53	54	106	107	109
211	53	54	106	108	110
212	53	54	107	111	113
213	54	55	107	109	111
214	54	55	108	109	111
215	54	55	108	109	112
216	54	55	109	110	112
217	55	56	109	110	113
218	55	56	110	114	116
219	55	56	110	111	114
220	55	56	111	112	114
221	56	57	111	112	115
222	56	57	112	113	115
223	56	57	112	115	116
224	56	57	113	117	118
225	57	58	113	116	117
226	57	58	114	115	117
227	57	58	114	118	119
228	57	58	115	120	121
229	58	59	115	119	120
230	58	59	116	121	123
231	58	59	116	117	118
232	58	59	117	121	123
233	59	60	117	123	124
234	59	60	118	120	121
235	59	60	118	124	125
236	59	60	119	120	122
237	60	61	119	120	122
238	60	61	120	125	126
239	60	61	120	126	128
240	60	61	121	122	124
241	61	62	122	125	127
242	61	62	123	124	125
243	61	62	123	124	126
244	133	134	135	136	137
245	133	134	135	136	137
246	133	134	135	137	138
247	133	134	135	136	138
248	134	135	136	138	139
249	134	135	136	137	139
250	134	135	136	139	140
251	134	135	136	141	142
252	135	136	137	138	140
253	135	136	137	141	143
254	135	136	137	139	141
255	135	136	137	139	141
256	136	137	139	140	142
257	136	137	139	142	144
258	136	137	140	141	143
259	136	137	140	142	144
260	137	138	141	143	145
261	137	138	141	144	145
262	137	138	142	144	146
263	137	138	142	145	147
264	138	139	143	144	146
265	138	139	143	145	147
266	138	139	144	146	148
267	138	139	144	145	148
268	139	140	145	146	149
269	139	140	145	147	149
270	139	140	146	150	151
271	139	140	146	147	150
272	140	141	147	151	152
273	140	141	147	152	153
274	140	141	148	149	150
275	140	141	148	153	155
276	141	142	149	150	151
277	141	142	149	154	156
278	141	142	150	151	152
279	141	142	150	151	153
280	142	143	151	152	154
281	142	143	151	152	154
282	142	143	152	153	155
283	142	143	152	154	156
284	143	144	153	155	157
285	143	144	153	155	157
286	143	144	154	155	158
287	143	144	154	156	158
288	144	145	155	156	159
289	144	145	155	157	159
290	144	145	156	158	160
291	144	145	156	157	160
292	145	146	157	158	161
293	145	146	157	159	161
294	145	146	158	159	162
295	145	146	158	160	162
296	146	147	159	160	163
297	146	147	159	161	163
298	146	147	160	162	164
299	146	147	160	163	165
300	147	148	161	165	167
301	147	148	161	162	164
302	147	148	162	165	167
303	147	148	162	164	165
304	148	149	163	164	166
305	148	149	163	164	166
306	148	149	164	165	168
307	148	149	164	166	168
308	149	150	165	167	169
309	149	150	165	167	169
310	149	150	166	168	170
311	149	150	166	169	170
312	150	151	167	169	171
313	150	151	167	170	172
314	150	151	168	169	171
315	150	151	168	170	172
316	151	152	169	171	173
317	151	152	169	170	173
318	151	152	170	172	174
319	151	152	170	171	174
320	152	153	171	172	175
321	152	153	171	173	175
322	152	153	172	175	176
323	152	153	172	175	177
324	153	154	173	177	178
325	153	154	173	174	176
326	153	154	174	179	180
327	153	154	174	179	180
328	154	155	175	176	177
329	154	155	175	181	183
330	154	155	176	177	178
331	154	155	176	181	183
332	155	156	177	178	179
333	155	156	177	178	179
334	155	156	178	179	181
335	155	156	178	179	181
336	156	157	179	180	182
337	156	157	179	180	182
338	156	157	180	182	184
339	156	157	180	181	184
340	157	158	181	183	185
341	157	158	181	182	185
342	157	158	182	183	186
343	157	158	182	184	186
344	158	159	183	186	187
345	158	159	183	186	188
346	158	159	184	188	189
347	158	159	184	185	187
348	159	160	185	190	191
349	159	160	185	190	191
350	159	160	186	187	188
351	159	160	186	192	194
352	160	161	187	188	189
353	160	161	187	192	194
354	160	161	188	189	190
355	160	161	188	189	190
356	161	162	189	190	192
357	161	162	189	190	192
358	161	162	190	191	193
359	161	162	190	191	193
360	162	163	191	193	195
361	162	163	191	192	195
362	162	163	192	194	196
363	162	163	192	193	196
364	163	164	193	194	197
365	163	164	193	195	197
366	163	164	194	197	198
367	163	164	194	197	199
368	164	165	195	199	200
369	164	165	195	196	198
370	164	165	196	201	202
371	164	165	196	201	202
372	165	166	197	198	199
373	165	166	197	203	205
374	165	166	198	199	200
375	165	166	198	203	205
376	166	167	199	200	201
377	166	167	199	200	201
378	166	167	200	201	203
379	166	167	200	201	203
380	167	168	201	202	204
381	167	168	201	202	204
382	167	168	202	204	206
383	167	168	202	203	206
384	168	169	203	205	207
385	168	169	203	204	207
386	168	169	204	205	208
387	168	169	204	206	208
388	169	170	205	208	209
389	169	170	205	208	210
390	169	170	206	210	211
391	169	170	206	207	209
392	170	171	207	212	213
393	170	171	207	212	213
394	170	171	208	209	210
395	170	171	208	214	216
396	171	172	209	210	211
397	171	172	209	214	216
398	171	172	210	211	212
399	171	172	210	211	212
400	172	173	211	212	214
401	172	173	211	212	214
402	172	173	212	213	215
403	172	173	212	213	215
404	173	174	213	215	217
405	173	174	213	214	217
406	173	174	214	216	218
407	173	174	214	215	218
408	174	175	215	216	219
409	174	175	215	217	219
410	174	175	216	219	220
411	174	175	216	219	221
412	175	176	217	221	222
413	175	176	217	218	220
414	175	176	218	223	224
415	175	176	218	223	224
416	176	177	219	220	221
417	176	177	219	225	226
418	176	177	220	221	222
419	176	177	220	225	227
420	177	178	221	228	229
421	177	178	221	228	230
422	177	178	222	223	225
423	177	178	222	223	225
424	178	179	223	228	230
425	178	179	223	224	226
