Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 1

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	4	6
4	1	2	3	4	6
5	2	3	4	6	8
6	2	3	4	5	8
7	2	3	4	5	8
8	2	3	4	5	8
9	3	4	5	9	11
10	3	4	5	7	11
11	3	4	5	8	11
12	3	4	5	6	11
13	4	5	7	8	11
14	4	5	7	9	11
15	4	5	8	10	12
16	4	5	8	10	12
17	5	6	10	11	13
18	5	6	10	11	13
19	5	6	10	13	14
20	5	6	10	12	14
21	6	7	13	14	15
22	6	7	13	14	15
23	6	7	13	14	16
24	6	7	13	14	16
25	7	8	13	16	18
26	7	8	13	14	18
27	7	8	14	15	18
28	7	8	14	15	18
29	8	9	15	19	21
30	8	9	15	17	21
31	8	9	16	18	21
32	8	9	16	17	21
33	9	10	17	18	21
34	9	10	17	19	21
35	9	10	18	20	22
36	9	10	18	20	22
37	10	11	20	21	23
38	10	11	20	21	23
39	10	11	20	23	24
40	10	11	20	22	24
41	11	12	23	24	25
42	11	12	23	24	25
43	11	12	23	24	26
44	11	12	23	24	26
45	12	13	23	26	28
46	12	13	23	24	28
47	12	13	24	25	28
48	12	13	24	25	28
49	13	14	25	29	31
50	13	14	25	27	31
51	13	14	26	28	31
52	13	14	26	27	31
53	14	15	27	28	31
54	14	15	27	29	31
55	14	15	28	30	32
56	14	15	28	30	32
57	15	16	30	31	33
58	15	16	30	31	33
59	15	16	30	33	34
60	15	16	30	32	34
61	16	17	33	34	35
62	16	17	33	34	35
63	16	17	33	34	36
64	16	17	33	34	36
65	17	18	33	36	38
66	17	18	33	34	38
67	17	18	34	35	38
68	17	18	34	35	38
69	18	19	35	39	41
70	18	19	35	37	41
71	18	19	36	38	41
72	18	19	36	37	41
73	19	20	37	38	41
74	19	20	37	39	41
75	19	20	38	40	42
76	19	20	38	40	42
77	20	21	40	41	43
78	20	21	40	41	43
79	20	21	40	43	44
80	20	21	40	42	44
81	21	22	43	44	45
82	21	22	43	44	45
83	21	22	43	44	46
84	21	22	43	44	46
85	22	23	43	46	47
86	22	23	43	44	47
87	22	23	44	46	48
88	22	23	44	47	48
89	23	24	45	48	49
90	23	24	45	49	50
91	23	24	46	48	50
92	23	24	46	47	50
93	24	25	47	50	51
94	24	25	47	51	52
95	24	25	48	49	52
96	24	25	48	52	53
97	25	26	49	52	53
98	25	26	49	53	54
99	25	26	50	51	54
100	25	26	50	53	54
101	26	27	51	54	55
102	26	27	52	53	55
103	26	27	52	54	56
104	26	27	52	56	58
105	27	28	53	54	58
106	27	28	54	55	58
107	27	28	54	55	58
108	27	28	55	59	60
109	28	29	55	56	60
110	28	29	56	57	60
111	28	29	56	57	60
112	28	29	56	57	60
113	29	30	57	59	61
114	29	30	57	60	62
115	29	30	58	59	62
116	29	30	60	61	62
117	30	31	60	61	63
118	30	31	60	63	64
119	30	31	60	61	64
120	30	31	62	63	64
121	31	32	62	63	65
122	31	32	62	63	65
123	31	32	62	63	66
124	31	32	62	66	68
125	32	33	63	64	68
126	32	33	64	65	68
127	32	33	64	65	68
128	32	33	64	69	70
129	33	34	65	66	70
130	33	34	66	67	70
131	33	34	66	67	70
132	33	34	66	67	70
133	34	35	67	69	71
134	34	35	67	70	72
135	34	35	68	69	72
136	34	35	70	71	72
137	35	36	70	71	73
138	35	36	70	73	74
139	35	36	70	71	74
140	35	36	72	73	74
141	36	37	72	73	75
142	36	37	72	73	75
143	36	37	72	73	76
144	36	37	72	76	78
145	37	38	73	74	78
146	37	38	74	75	78
147	37	38	74	75	78
148	37	38	74	79	80
149	38	39	75	76	80
150	38	39	76	77	80
151	38	39	76	77	80
152	38	39	76	77	80
153	39	40	77	79	81
154	39	40	77	80	82
155	39	40	78	79	82
156	39	40	80	81	82
157	40	41	80	81	83
158	40	41	80	83	84
159	40	41	80	81	84
160	40	41	82	83	84
161	41	42	82	83	85
162	41	42	82	83	85
163	41	42	82	83	86
164	41	42	82	86	88
165	42	43	83	84	88
166	42	43	84	85	88
167	42	43	84	85	88
168	42	43	84	89	90
169	43	44	85	86	90
170	43	44	86	87	90
171	43	44	86	87	90
172	43	44	86	87	90
173	44	45	87	89	91
174	44	45	87	90	92
175	44	45	88	89	92
176	44	45	90	91	92
177	45	46	90	91	93
178	45	46	90	93	94
179	45	46	90	91	94
180	45	46	92	93	94
181	46	47	92	93	95
182	46	47	92	93	95
183	46	47	92	93	96
184	46	47	92	96	98
185	47	48	93	94	98
186	47	48	94	95	98
187	47	48	94	95	98
188	47	48	94	99	100
189	48	49	95	96	100
190	48	49	96	97	100
191	48	49	96	97	100
192	48	49	96	97	100
193	49	50	97	99	101
194	49	50	97	100	102
195	49	50	98	99	102
196	49	50	100	101	102
197	50	51	100	101	103
198	50	51	100	103	104
199	50	51	100	101	104
200	50	51	102	103	104
201	51	52	102	103	105
202	51	52	102	103	105
203	51	52	102	103	106
204	51	52	102	106	108
205	52	53	103	104	108
206	52	53	104	105	108
207	52	53	104	105	108
208	52	53	104	109	110
209	53	54	105	106	110
210	53	54	106	107	110
211	53	54	106	107	110
212	53	54	106	107	110
213	54	55	107	109	111
214	54	55	107	110	112
215	54	55	108	109	112
216	54	55	110	111	112
217	55	56	110	111	113
218	55	56	110	113	114
219	55	56	110	111	114
220	55	56	112	113	114
221	56	57	112	113	115
222	56	57	112	113	115
223	56	57	112	113	116
224	56	57	112	116	118
225	57	58	113	114	118
226	57	58	114	115	118
227	57	58	114	115	118
228	57	58	114	119	120
229	58	59	115	116	120
230	58	59	116	117	120
231	58	59	116	117	120
232	58	59	116	117	120
233	59	60	117	119	121
234	59	60	117	120	122
235	59	60	118	119	122
236	59	60	120	121	122
237	60	61	120	121	123
238	60	61	120	123	124
239	60	61	120	121	124
240	60	61	122	123	124
241	61	62	122	123	125
242	61	62	122	123	125
243	61	62	122	123	126
244	61	62	122	126	128
245	62	63	123	124	128
246	62	63	124	125	128
247	62	63	124	125	128
248	62	63	124	129	130
249	63	64	125	126	130
250	131	132	133	134	135
251	131	132	133	134	135
252	131	132	133	134	136
253	131	132	133	134	136
254	132	133	134	136	138
255	132	133	134	135	138
256	132	133	134	135	138
257	132	133	134	135	138
258	133	134	135	139	141
259	133	134	135	137	141
260	133	134	135	138	141
261	133	134	135	136	141
262	134	135	137	138	141
263	134	135	137	139	141
264	134	135	138	140	142
265	134	135	138	140	142
266	135	136	140	141	143
267	135	136	140	141	143
268	135	136	140	143	144
269	135	136	140	142	144
270	136	137	143	144	145
271	136	137	143	144	145
272	136	137	143	144	146
273	136	137	143	144	146
274	137	138	143	146	148
275	137	138	143	144	148
276	137	138	144	145	148
277	137	138	144	145	148
278	138	139	145	149	151
279	138	139	145	147	151
280	138	139	146	148	151
281	138	139	146	147	151
282	139	140	147	148	151
283	139	140	147	149	151
284	139	140	148	150	152
285	139	140	148	150	152
286	140	141	150	151	153
287	140	141	150	151	153
288	140	141	150	153	154
289	140	141	150	152	154
290	141	142	153	154	155
291	141	142	153	154	155
292	141	142	153	154	156
293	141	142	153	154	156
294	142	143	153	156	158
295	142	143	153	154	158
296	142	143	154	155	158
297	142	143	154	155	158
298	143	144	155	159	161
299	143	144	155	157	161
300	143	144	156	158	161
301	143	144	156	157	161
302	144	145	157	158	161
303	144	145	157	159	161
304	144	145	158	160	162
305	144	145	158	160	162
306	145	146	160	161	163
307	145	146	160	161	163
308	145	146	160	163	164
309	145	146	160	162	164
310	146	147	163	164	165
311	146	147	163	164	165
312	146	147	163	164	166
313	146	147	163	164	166
314	147	148	163	166	168
315	147	148	163	164	168
316	147	148	164	165	168
317	147	148	164	165	168
318	148	149	165	169	171
319	148	149	165	167	171
320	148	149	166	168	171
321	148	149	166	167	171
322	149	150	167	168	171
323	149	150	167	169	171
324	149	150	168	170	172
325	149	150	168	170	172
326	150	151	170	171	173
327	150	151	170	171	173
328	150	151	170	173	174
329	150	151	170	172	174
330	151	152	173	174	175
331	151	152	173	174	175
332	151	152	173	174	176
333	151	152	173	174	176
334	152	153	173	176	178
335	152	153	173	174	178
336	152	153	174	175	178
337	152	153	174	175	178
338	153	154	175	179	181
339	153	154	175	177	181
340	153	154	176	178	181
341	153	154	176	177	181
342	154	155	177	178	181
343	154	155	177	179	181
344	154	155	178	180	182
345	154	155	178	180	182
346	155	156	180	181	183
347	155	156	180	181	183
348	155	156	180	183	184
349	155	156	180	182	184
350	156	157	183	184	185
351	156	157	183	184	185
352	156	157	183	184	186
353	156	157	183	184	186
354	157	158	183	186	187
355	157	158	183	184	187
356	157	158	184	186	188
357	157	158	184	187	188
358	158	159	185	188	189
359	158	159	185	189	190
360	158	159	186	188	190
361	158	159	186	187	190
362	159	160	187	190	191
363	159	160	187	191	192
364	159	160	188	189	192
365	159	160	188	192	193
366	160	161	189	192	193
367	160	161	189	193	194
368	160	161	190	191	194
369	160	161	190	193	194
370	161	162	191	194	195
371	161	162	192	193	195
372	161	162	192	194	196
373	161	162	192	196	198
374	162	163	193	194	198
375	162	163	194	195	198
376	162	163	194	195	198
377	162	163	195	199	200
378	163	164	195	196	200
379	163	164	196	197	200
380	163	164	196	197	200
381	163	164	196	197	200
382	164	165	197	199	201
383	164	165	197	200	202
384	164	165	198	199	202
385	164	165	200	201	202
386	165	166	200	201	203
387	165	166	200	203	204
388	165	166	200	201	204
389	165	166	202	203	204
390	166	167	202	203	205
391	166	167	202	203	205
392	166	167	202	203	206
393	166	167	202	206	208
394	167	168	203	204	208
395	167	168	204	205	208
396	167	168	204	205	208
397	167	168	204	209	210
398	168	169	205	206	210
399	168	169	206	207	210
400	168	169	206	207	210
401	168	169	206	207	210
402	169	170	207	209	211
403	169	170	207	210	212
404	169	170	208	209	212
405	169	170	210	211	212
406	170	171	210	211	213
407	170	171	210	213	214
408	170	171	210	211	214
409	170	171	212	213	214
410	171	172	212	213	215
411	171	172	212	213	215
412	171	172	212	213	216
413	171	172	212	216	218
414	172	173	213	214	218
415	172	173	214	215	218
416	172	173	214	215	218
417	172	173	214	219	220
418	173	174	215	216	220
419	173	174	216	217	220
420	173	174	216	217	220
421	173	174	216	217	220
422	174	175	217	219	221
423	174	175	217	220	222
424	174	175	218	219	222
425	174	175	220	221	222
