Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 1

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	4	6
4	1	2	3	6	8
5	2	3	4	5	8
6	2	3	4	5	8
7	2	3	4	5	8
8	2	3	4	8	9
9	3	4	5	7	9
10	3	4	5	10	11
11	3	4	5	7	11
12	3	4	5	10	11
13	4	5	7	12	13
14	4	5	7	14	15
15	4	5	8	12	15
16	4	5	10	16	17
17	5	6	10	11	17
18	5	6	10	16	17
19	5	6	10	13	17
20	5	6	11	12	17
21	6	7	11	12	17
22	6	7	13	14	17
23	6	7	13	14	17
24	6	7	13	17	18
25	7	8	15	16	18
26	7	8	17	18	19
27	7	8	17	18	19
28	7	8	19	20	21
29	8	9	19	20	21
30	8	9	19	20	22
31	8	9	19	21	23
32	8	9	19	20	23
33	9	10	19	20	23
34	9	10	19	23	25
35	9	10	19	22	25
36	9	10	20	23	25
37	10	11	20	23	26
38	10	11	21	24	26
39	10	11	21	22	26
40	10	11	23	24	27
41	11	12	23	25	27
42	11	12	24	26	28
43	11	12	25	26	28
44	11	12	25	26	29
45	12	13	25	27	29
46	12	13	27	30	31
47	12	13	27	32	33
48	12	13	27	28	33
49	13	14	28	29	33
50	13	14	28	32	33
51	13	14	28	29	33
52	13	14	29	32	34
53	14	15	29	30	34
54	14	15	30	31	34
55	14	15	30	33	35
56	14	15	31	36	37
57	15	16	31	32	37
58	15	16	33	34	37
59	15	16	35	36	37
60	15	16	35	38	40
61	16	17	35	36	40
62	16	17	35	36	40
63	16	17	35	39	41
64	16	17	36	37	41
65	17	18	36	38	41
66	17	18	36	37	41
67	17	18	37	38	41
68	17	18	39	40	42
69	18	19	39	40	42
70	18	19	39	41	43
71	18	19	39	40	43
72	18	19	42	43	44
73	19	20	42	43	44
74	19	20	42	43	45
75	19	20	43	45	46
76	19	20	43	44	46
77	20	21	43	45	47
78	20	21	43	44	47
79	20	21	43	46	48
80	20	21	44	45	48
81	21	22	44	46	48
82	21	22	45	48	49
83	21	22	45	46	49
84	21	22	46	48	50
85	22	23	46	48	50
86	22	23	47	49	51
87	22	23	48	49	51
88	22	23	48	49	52
89	23	24	49	52	53
90	23	24	49	50	53
91	23	24	50	52	54
92	23	24	50	51	54
93	24	25	50	53	55
94	24	25	51	52	55
95	24	25	51	53	55
96	24	25	52	55	56
97	25	26	52	53	56
98	25	26	53	55	57
99	25	26	53	55	57
100	25	26	54	56	58
101	26	27	55	56	58
102	26	27	55	56	59
103	26	27	56	59	60
104	26	27	56	57	60
105	27	28	57	59	61
106	27	28	57	58	61
107	27	28	57	60	62
108	27	28	58	59	62
109	28	29	58	60	62
110	28	29	59	62	63
111	28	29	59	60	63
112	28	29	60	62	64
113	29	30	60	62	64
114	29	30	61	63	65
115	29	30	62	63	65
116	29	30	62	63	66
117	30	31	63	66	67
118	30	31	63	64	67
119	30	31	64	66	68
120	30	31	64	65	68
121	31	32	64	67	69
122	31	32	65	66	69
123	31	32	65	67	69
124	31	32	66	69	70
125	32	33	66	67	70
126	32	33	67	69	71
127	32	33	67	69	71
128	32	33	68	70	72
129	33	34	69	70	72
130	33	34	69	70	73
131	33	34	70	73	74
132	33	34	70	71	74
133	34	35	71	73	75
134	34	35	71	72	75
135	34	35	71	74	76
136	34	35	72	73	76
137	35	36	72	74	76
138	35	36	73	76	77
139	35	36	73	74	77
140	35	36	74	76	78
141	36	37	74	76	78
142	36	37	75	77	79
143	36	37	76	77	79
144	36	37	76	77	80
145	37	38	77	80	82
146	37	38	77	78	82
147	37	38	78	80	82
148	37	38	78	79	82
149	38	39	78	79	82
150	38	39	79	82	84
151	38	39	79	85	86
152	38	39	80	81	86
153	39	40	80	81	86
154	39	40	81	84	86
155	39	40	81	82	86
156	39	40	82	83	86
157	40	41	84	86	88
158	40	41	84	85	88
159	40	41	84	85	88
160	40	41	84	85	88
161	41	42	84	85	88
162	41	42	86	87	89
163	41	42	88	90	91
164	41	42	88	92	93
165	42	43	88	89	93
166	42	43	88	89	93
167	42	43	88	91	93
168	42	43	88	89	93
169	43	44	90	91	93
170	43	44	90	93	95
171	43	44	90	92	95
172	43	44	90	92	95
173	44	45	90	92	95
174	44	45	91	92	95
175	44	45	93	96	97
176	44	45	95	96	97
177	45	46	95	96	98
178	45	46	95	98	99
179	45	46	95	96	99
180	45	46	95	98	100
181	46	47	95	97	100
182	46	47	97	98	100
183	46	47	97	101	102
184	46	47	97	103	104
185	47	48	97	99	104
186	47	48	97	99	104
187	47	48	99	102	104
188	47	48	99	100	104
189	48	49	100	101	104
190	48	49	101	104	106
191	48	49	101	103	106
192	48	49	102	103	106
193	49	50	102	103	106
194	49	50	102	103	106
195	49	50	104	105	107
196	49	50	106	108	109
197	50	51	106	110	111
198	50	51	106	107	111
199	50	51	106	107	111
200	50	51	106	109	111
201	51	52	106	107	111
202	51	52	108	109	111
203	51	52	108	111	113
204	51	52	108	110	113
205	52	53	108	110	113
206	52	53	108	110	113
207	52	53	109	110	113
208	52	53	111	112	114
209	53	54	113	115	116
210	53	54	113	117	118
211	53	54	113	114	118
212	53	54	113	114	118
213	54	55	113	116	118
214	54	55	113	114	118
215	54	55	115	116	118
216	54	55	115	118	120
217	55	56	115	117	120
218	55	56	115	117	120
219	55	56	115	117	120
220	55	56	116	117	120
221	56	57	118	119	121
222	56	57	120	122	123
223	56	57	120	124	125
224	56	57	120	121	125
225	57	58	120	121	125
226	57	58	120	124	125
227	57	58	120	121	125
228	57	58	122	124	126
229	58	59	122	123	126
230	58	59	122	123	126
231	58	59	122	125	127
232	58	59	122	128	129
233	59	60	123	124	129
234	59	60	125	127	129
235	59	60	127	129	131
236	59	60	127	128	131
237	60	61	127	128	131
238	60	61	127	128	131
239	60	61	127	128	131
240	60	61	128	131	133
241	61	62	128	129	133
242	61	62	128	131	133
243	61	62	129	130	133
244	61	62	131	132	134
245	62	63	131	135	136
246	62	63	131	137	138
247	62	63	133	134	138
248	62	63	133	134	138
249	63	64	133	137	138
250	139	140	141	142	143
251	139	140	141	142	143
252	139	140	141	142	144
253	139	140	141	142	144
254	140	141	142	145	147
255	140	141	142	148	150
256	140	141	142	143	150
257	140	141	142	144	150
258	141	142	143	146	150
259	141	142	143	144	150
260	141	142	143	145	150
261	141	142	143	144	150
262	142	143	145	146	150
263	142	143	145	147	150
264	142	143	146	147	150
265	142	143	146	147	150
266	143	144	149	150	151
267	143	144	152	153	154
268	143	144	152	155	157
269	143	144	152	155	158
270	144	145	152	153	158
271	144	145	152	153	158
272	144	145	152	153	158
273	144	145	152	154	158
274	145	146	152	157	159
275	145	146	152	160	161
276	145	146	152	153	161
277	145	146	152	153	161
278	146	147	153	156	161
279	146	147	156	162	163
280	146	147	159	160	163
281	146	147	160	164	165
282	147	148	160	164	165
283	147	148	160	166	167
284	147	148	160	166	167
285	147	148	160	168	169
286	148	149	161	164	169
287	148	149	163	168	169
288	148	149	163	170	171
289	148	149	163	165	171
290	149	150	163	170	171
291	149	150	165	166	171
292	149	150	165	167	171
293	149	150	167	170	172
294	150	151	167	168	172
295	150	151	169	173	174
296	150	151	169	172	174
297	150	151	171	172	174
298	151	152	171	174	175
299	151	152	171	176	177
300	151	152	173	178	179
301	151	152	173	180	181
302	152	153	173	180	181
303	152	153	173	174	181
304	152	153	173	174	181
305	152	153	174	175	181
306	153	154	174	175	181
307	153	154	176	177	181
308	153	154	176	177	181
309	153	154	176	178	181
310	154	155	177	178	181
311	154	155	179	180	182
312	154	155	181	182	183
313	154	155	183	184	185
314	155	156	183	184	185
315	155	156	183	186	187
316	155	156	183	188	189
317	155	156	183	184	189
318	156	157	183	190	191
319	156	157	183	185	191
320	156	157	183	187	191
321	156	157	183	185	191
322	157	158	183	192	193
323	157	158	184	186	193
324	157	158	185	194	195
325	157	158	187	188	195
326	158	159	187	188	195
327	158	159	189	190	195
328	158	159	191	192	195
329	158	159	191	196	197
330	159	160	193	198	199
331	159	160	193	198	199
332	159	160	193	194	199
333	159	160	193	194	199
334	160	161	195	196	199
335	160	161	195	200	201
336	160	161	197	198	201
337	160	161	197	199	201
338	161	162	197	201	202
339	161	162	197	199	202
340	161	162	197	203	204
341	161	162	199	202	204
342	162	163	201	204	205
343	162	163	201	206	207
344	162	163	201	208	209
345	162	163	201	208	209
346	163	164	201	210	211
347	163	164	203	204	211
348	163	164	203	210	211
349	163	164	203	210	212
350	164	165	204	213	214
351	164	165	204	205	214
352	164	165	206	207	214
353	164	165	206	208	214
354	165	166	207	208	214
355	165	166	209	212	214
356	165	166	211	213	214
357	165	166	211	212	214
358	166	167	213	214	215
359	166	167	213	214	215
360	166	167	213	214	216
361	166	167	214	216	217
362	167	168	216	218	219
363	167	168	216	218	219
364	167	168	216	220	221
365	167	168	216	218	221
366	168	169	216	217	221
367	168	169	216	220	221
368	168	169	216	221	222
369	168	169	216	217	222
370	169	170	217	219	222
371	169	170	217	221	223
372	169	170	218	222	223
373	169	170	219	220	223
374	170	171	221	222	224
375	170	171	221	223	224
376	170	171	223	225	226
377	170	171	223	224	226
378	171	172	223	224	226
379	171	172	223	226	227
380	171	172	224	226	227
381	171	172	224	225	227
382	172	173	224	226	228
383	172	173	225	226	228
384	172	173	225	226	229
385	172	173	225	229	230
386	173	174	226	228	230
387	173	174	226	230	231
388	173	174	228	231	232
389	173	174	228	230	232
390	174	175	228	230	232
391	174	175	229	232	234
392	174	175	229	231	234
393	174	175	229	235	236
394	175	176	230	235	236
395	175	176	230	231	236
396	175	176	231	232	236
397	175	176	232	233	236
398	176	177	232	235	237
399	176	177	233	238	239
400	176	177	234	236	239
401	176	177	234	235	239
402	177	178	234	235	239
403	177	178	236	239	240
404	177	178	236	237	240
405	177	178	238	240	241
406	178	179	238	239	241
407	178	179	238	239	241
408	178	179	238	240	242
409	178	179	238	240	242
410	179	180	239	243	244
411	179	180	241	243	244
412	179	180	241	242	244
413	179	180	241	245	246
414	180	181	241	245	246
415	180	181	242	243	246
416	180	181	242	247	248
417	180	181	243	247	248
418	181	182	243	245	248
419	181	182	243	249	250
420	181	182	244	249	250
421	181	182	244	247	250
422	182	183	246	251	252
423	182	183	246	251	252
424	182	183	246	249	252
425	182	183	248	253	254
