Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 1

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	4	6
4	1	2	3	5	6
5	2	3	4	5	7
6	2	3	4	6	7
7	2	3	4	7	8
8	2	3	4	8	9
9	3	4	5	6	9
10	3	4	5	7	9
11	3	4	5	8	10
12	3	4	5	9	10
13	4	5	7	10	12
14	4	5	7	9	12
15	4	5	8	9	12
16	4	5	8	9	12
17	5	6	9	10	13
18	5	6	9	11	13
19	5	6	10	11	14
20	5	6	11	12	14
21	6	7	11	12	15
22	6	7	11	15	16
23	6	7	12	14	16
24	6	7	12	14	16
25	7	8	14	15	17
26	7	8	14	15	17
27	7	8	14	18	19
28	7	8	14	17	19
29	8	9	15	20	21
30	8	9	15	17	21
31	8	9	16	22	23
32	8	9	16	18	23
33	9	10	17	24	25
34	9	10	18	19	25
35	9	10	18	26	27
36	9	10	18	19	27
37	10	11	19	28	29
38	10	11	19	20	29
39	10	11	21	30	31
40	10	11	21	22	31
41	11	12	23	32	33
42	11	12	23	24	33
43	11	12	25	34	35
44	11	12	25	26	35
45	12	13	27	36	37
46	12	13	27	28	37
47	12	13	29	38	39
48	12	13	29	30	39
49	13	14	31	40	41
50	13	14	31	32	41
51	13	14	33	42	43
52	13	14	33	34	43
53	14	15	35	44	45
54	14	15	35	36	45
55	14	15	37	46	47
56	14	15	37	38	47
57	15	16	39	48	49
58	15	16	39	40	49
59	15	16	41	50	51
60	15	16	41	42	51
61	16	17	43	52	53
62	16	17	43	44	53
63	16	17	45	54	55
64	16	17	45	46	55
65	17	18	47	56	57
66	17	18	47	48	57
67	17	18	49	58	59
68	17	18	49	50	59
69	18	19	51	60	61
70	18	19	51	52	61
71	18	19	53	62	63
72	18	19	53	54	63
73	19	20	55	64	65
74	19	20	55	56	65
75	19	20	57	66	67
76	19	20	57	58	67
77	20	21	59	68	69
78	20	21	59	60	69
79	20	21	61	70	71
80	20	21	61	62	71
81	21	22	63	72	73
82	21	22	63	64	73
83	21	22	65	74	75
84	21	22	65	66	75
85	22	23	67	76	77
86	22	23	67	68	77
87	22	23	69	78	79
88	22	23	69	70	79
89	23	24	71	72	79
90	23	24	71	74	79
91	23	24	73	74	79
92	23	24	73	77	79
93	24	25	75	76	79
94	24	25	75	76	79
95	24	25	77	78	79
96	24	25	77	78	80
97	25	26	79	80	81
98	25	26	79	80	81
99	25	26	81	82	83
100	25	26	81	82	83
101	26	27	81	82	84
102	26	27	81	82	84
103	26	27	81	83	85
104	26	27	81	82	85
105	27	28	81	84	86
106	27	28	81	84	87
107	27	28	81	85	88
108	27	28	82	83	88
109	28	29	83	86	88
110	28	29	83	84	88
111	28	29	85	87	89
112	28	29	85	89	90
113	29	30	86	91	92
114	29	30	86	88	92
115	29	30	87	89	92
116	29	30	87	88	92
117	30	31	88	91	92
118	30	31	89	92	94
119	30	31	90	91	94
120	30	31	90	94	95
121	31	32	90	95	96
122	31	32	90	91	96
123	31	32	91	92	96
124	31	32	92	95	96
125	32	33	94	95	97
126	32	33	94	98	99
127	32	33	94	100	101
128	32	33	94	97	101
129	33	34	94	95	101
130	33	34	96	98	101
131	33	34	96	99	101
132	33	34	97	98	101
133	34	35	98	101	102
134	34	35	98	102	103
135	34	35	98	99	103
136	34	35	98	103	104
137	35	36	99	104	105
138	35	36	101	103	105
139	35	36	103	104	105
140	35	36	103	107	109
141	36	37	103	105	109
142	36	37	103	104	109
143	36	37	103	106	109
144	36	37	103	104	109
145	37	38	104	106	109
146	37	38	105	106	109
147	37	38	105	106	109
148	37	38	106	110	111
149	38	39	107	112	113
150	38	39	107	108	113
151	38	39	107	110	113
152	38	39	111	112	113
153	39	40	111	112	114
154	39	40	111	113	115
155	39	40	111	114	115
156	39	40	111	115	116
157	40	41	111	116	117
158	40	41	111	112	117
159	40	41	111	117	118
160	40	41	113	119	120
161	41	42	115	117	120
162	41	42	115	118	120
163	41	42	115	116	120
164	41	42	115	118	120
165	42	43	116	117	120
166	42	43	117	119	121
167	42	43	117	122	123
168	42	43	118	119	123
169	43	44	119	121	123
170	43	44	119	123	124
171	43	44	120	123	124
172	43	44	122	123	125
173	44	45	122	123	125
174	44	45	122	123	126
175	44	45	122	125	127
176	44	45	122	128	129
177	45	46	122	124	129
178	45	46	123	126	129
179	45	46	125	126	129
180	45	46	125	126	129
181	46	47	125	129	130
182	46	47	126	127	130
183	46	47	126	129	131
184	46	47	127	128	131
185	47	48	127	129	131
186	47	48	128	129	132
187	47	48	129	130	132
188	47	48	131	132	133
189	48	49	131	132	133
190	48	49	131	133	134
191	48	49	131	135	136
192	48	49	131	136	137
193	49	50	132	134	137
194	49	50	132	138	140
195	49	50	133	138	140
196	49	50	133	134	140
197	50	51	133	134	140
198	50	51	134	136	140
199	50	51	134	137	140
200	50	51	135	137	140
201	51	52	135	136	140
202	51	52	136	137	140
203	51	52	138	139	141
204	51	52	139	142	143
205	52	53	139	145	147
206	52	53	142	143	147
207	52	53	142	143	147
208	52	53	142	143	147
209	53	54	142	143	147
210	53	54	142	144	147
211	53	54	142	143	147
212	53	54	142	145	148
213	54	55	142	146	148
214	54	55	142	147	149
215	54	55	143	144	149
216	54	55	145	149	150
217	55	56	149	150	151
218	55	56	149	150	151
219	55	56	149	152	154
220	55	56	149	150	154
221	56	57	149	150	154
222	56	57	149	155	157
223	56	57	149	150	157
224	56	57	150	151	157
225	57	58	150	155	157
226	57	58	151	152	157
227	57	58	151	153	157
228	57	58	152	154	157
229	58	59	153	154	157
230	58	59	153	154	157
231	58	59	156	157	158
232	58	59	156	157	158
233	59	60	156	157	159
234	59	60	159	160	161
235	59	60	159	160	161
236	59	60	159	162	164
237	60	61	159	165	166
238	60	61	159	160	166
239	60	61	159	160	166
240	60	61	159	165	167
241	61	62	159	165	167
242	61	62	159	160	167
243	61	62	160	161	167
244	61	62	160	163	167
245	62	63	161	162	167
246	62	63	163	164	167
247	62	63	163	164	167
248	62	63	166	167	168
249	63	64	168	169	170
250	171	172	173	174	175
251	171	172	173	174	175
252	171	172	173	174	176
253	171	172	173	174	176
254	172	173	174	177	178
255	172	173	174	175	178
256	172	173	174	178	180
257	172	173	174	176	180
258	173	174	175	178	180
259	173	174	175	176	180
260	173	174	175	177	180
261	173	174	175	177	180
262	174	175	177	178	181
263	174	175	177	179	181
264	174	175	178	179	182
265	174	175	178	180	182
266	175	176	180	181	183
267	175	176	180	181	183
268	175	176	182	184	186
269	175	176	182	183	186
270	176	177	182	183	186
271	176	177	182	183	186
272	176	177	182	183	186
273	176	177	182	183	186
274	177	178	183	187	188
275	177	178	183	186	188
276	177	178	184	187	189
277	177	178	184	185	189
278	178	179	185	186	189
279	178	179	185	187	189
280	178	179	188	189	190
281	178	179	188	190	191
282	179	180	188	189	191
283	179	180	188	190	192
284	179	180	188	190	192
285	179	180	188	189	192
286	180	181	190	191	193
287	180	181	190	191	193
288	180	181	191	192	194
289	180	181	191	192	194
290	181	182	191	195	197
291	181	182	191	193	197
292	181	182	192	193	197
293	181	182	193	194	197
294	182	183	193	194	197
295	182	183	194	195	197
296	182	183	194	198	199
297	182	183	194	197	199
298	183	184	195	198	200
299	183	184	195	196	200
300	183	184	196	197	200
301	183	184	196	198	200
302	184	185	199	200	201
303	184	185	199	201	202
304	184	185	199	200	202
305	184	185	199	201	203
306	185	186	199	201	203
307	185	186	199	200	203
308	185	186	201	202	204
309	185	186	201	202	204
310	186	187	202	203	205
311	186	187	202	203	205
312	186	187	202	206	208
313	186	187	202	204	208
314	187	188	203	204	208
315	187	188	204	205	208
316	187	188	204	205	208
317	187	188	205	206	208
318	188	189	205	209	210
319	188	189	205	208	210
320	188	189	206	209	210
321	188	189	206	207	210
322	189	190	207	210	211
323	189	190	207	210	211
324	189	190	210	211	212
325	189	190	210	211	212
326	190	191	210	211	213
327	190	191	210	211	213
328	190	191	210	214	215
329	190	191	210	216	217
330	191	192	212	213	217
331	191	192	212	216	218
332	191	192	212	213	218
333	191	192	212	215	218
334	192	193	213	214	218
335	192	193	213	214	218
336	192	193	214	217	219
337	192	193	214	215	219
338	193	194	215	216	219
339	193	194	215	220	221
340	193	194	217	218	221
341	193	194	219	220	221
342	194	195	219	221	222
343	194	195	220	222	223
344	194	195	220	223	225
345	194	195	220	225	227
346	195	196	220	222	227
347	195	196	220	221	227
348	195	196	221	222	227
349	195	196	221	222	227
350	196	197	221	227	228
351	196	197	223	224	228
352	196	197	223	224	228
353	196	197	223	224	228
354	197	198	224	225	228
355	197	198	225	226	228
356	197	198	227	228	229
357	197	198	229	230	231
358	198	199	229	230	231
359	198	199	229	231	232
360	198	199	229	230	232
361	198	199	229	232	234
362	199	200	230	231	234
363	199	200	230	234	235
364	199	200	230	231	235
365	199	200	230	235	237
366	200	201	230	234	237
367	200	201	230	231	237
368	200	201	231	232	237
369	200	201	233	234	237
370	201	202	233	234	237
371	201	202	234	235	238
372	201	202	234	235	238
373	201	202	236	237	239
374	202	203	236	239	240
375	202	203	237	238	240
376	202	203	237	238	240
377	202	203	239	240	241
378	203	204	239	240	241
379	203	204	239	240	242
380	203	204	239	242	243
381	203	204	239	240	243
382	204	205	239	241	243
383	204	205	240	242	244
384	204	205	240	243	244
385	204	205	241	245	246
386	205	206	242	245	246
387	205	206	242	247	249
388	205	206	242	243	249
389	205	206	243	244	249
390	206	207	243	246	249
391	206	207	244	245	249
392	206	207	245	246	249
393	206	207	245	246	249
394	207	208	245	248	250
395	207	208	246	247	250
396	207	208	246	247	250
397	207	208	248	249	251
398	208	209	248	249	251
399	208	209	251	252	253
400	208	209	251	252	253
401	208	209	251	255	256
402	209	210	251	252	256
403	209	210	251	257	258
404	209	210	251	252	258
405	209	210	251	255	258
406	210	211	252	253	258
407	210	211	252	258	259
408	210	211	252	256	259
409	210	211	253	254	259
410	211	212	253	254	259
411	211	212	255	256	259
412	211	212	255	257	259
413	211	212	258	259	260
414	212	213	258	259	260
415	212	213	260	261	262
416	212	213	260	263	264
417	212	213	260	261	264
418	213	214	260	263	264
419	213	214	261	265	266
420	213	214	261	267	268
421	213	214	261	269	270
422	214	215	261	263	270
423	214	215	261	262	270
424	214	215	261	264	270
425	214	215	262	263	270
