Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4
E: 250
S: 1

INST	FETCH	DISP	SCHED	EXEC	STATE
1	1	2	3	4	5
2	1	2	3	4	5
3	1	2	3	6	7
4	1	2	3	6	7
5	2	3	4	8	10
6	2	3	4	11	12
7	2	3	4	5	12
8	2	3	4	7	12
9	3	4	5	6	12
10	3	4	5	6	12
11	3	4	5	10	12
12	3	4	5	6	12
13	4	5	7	12	13
14	4	5	7	8	13
15	4	5	9	11	13
16	4	5	9	10	13
17	5	6	12	13	14
18	5	6	14	15	16
19	5	6	14	15	16
20	5	6	14	17	19
21	6	7	14	15	19
22	6	7	14	16	19
23	6	7	14	17	19
24	6	7	14	20	21
25	7	8	15	16	21
26	7	8	15	19	21
27	7	8	15	20	21
28	7	8	15	16	21
29	8	9	16	17	21
30	8	9	18	21	22
31	8	9	18	21	22
32	8	9	21	22	23
33	9	10	21	22	23
34	9	10	21	22	24
35	9	10	21	22	24
36	9	10	23	24	25
37	10	11	23	24	25
38	10	11	23	24	26
39	10	11	23	24	26
40	10	11	23	24	27
41	11	12	23	25	27
42	11	12	24	25	28
43	11	12	24	25	28
44	11	12	25	26	29
45	12	13	25	28	29
46	12	13	26	30	31
47	12	13	26	29	31
48	12	13	27	28	31
49	13	14	27	31	32
50	13	14	28	30	32
51	13	14	28	33	34
52	13	14	29	32	34
53	14	15	29	34	35
54	14	15	30	31	35
55	14	15	30	31	35
56	14	15	31	32	35
57	15	16	31	33	35
58	15	16	33	36	37
59	15	16	33	34	37
60	15	16	33	35	37
61	16	17	34	36	37
62	16	17	34	38	39
63	16	17	36	37	39
64	16	17	36	39	40
65	17	18	37	39	40
66	17	18	37	38	40
67	17	18	37	40	41
68	17	18	37	40	41
69	18	19	37	41	42
70	18	19	39	40	42
71	18	19	39	41	43
72	18	19	39	41	43
73	19	20	39	42	44
74	19	20	41	42	44
75	19	20	41	43	45
76	19	20	42	43	45
77	20	21	42	43	46
78	20	21	42	43	46
79	20	21	43	44	47
80	20	21	43	45	47
81	21	22	44	45	48
82	21	22	44	45	48
83	21	22	45	47	49
84	21	22	45	50	51
85	22	23	46	49	51
86	22	23	46	47	51
87	22	23	47	51	52
88	22	23	47	50	52
89	23	24	48	53	54
90	23	24	48	52	54
91	23	24	49	55	56
92	23	24	49	51	56
93	24	25	50	51	56
94	24	25	50	51	56
95	24	25	51	54	56
96	24	25	53	56	57
97	25	26	53	54	57
98	25	26	53	55	57
99	25	26	54	56	57
100	25	26	54	58	59
101	26	27	56	57	59
102	26	27	56	59	60
103	26	27	58	59	60
104	26	27	58	60	61
105	27	28	58	60	61
106	27	28	58	61	62
107	27	28	58	61	63
108	27	28	59	60	63
109	28	29	59	62	64
110	28	29	59	61	64
111	28	29	59	62	64
112	28	29	61	63	65
113	29	30	61	63	65
114	29	30	62	64	66
115	29	30	62	63	66
116	29	30	63	64	67
117	30	31	63	65	67
118	30	31	64	65	68
119	30	31	65	66	68
120	30	31	65	66	69
121	31	32	66	68	69
122	31	32	66	70	71
123	31	32	66	69	71
124	31	32	67	68	71
125	32	33	67	71	72
126	32	33	68	70	72
127	32	33	68	73	74
128	32	33	69	72	74
129	33	34	69	74	75
130	33	34	70	71	75
131	33	34	70	71	75
132	33	34	71	72	75
133	34	35	71	73	75
134	34	35	73	76	77
135	34	35	73	74	77
136	34	35	73	75	77
137	35	36	74	76	77
138	35	36	74	78	79
139	35	36	76	77	79
140	35	36	76	79	80
141	36	37	77	79	80
142	36	37	77	78	80
143	36	37	77	80	81
144	36	37	77	80	81
145	37	38	77	81	82
146	37	38	79	80	82
147	37	38	79	81	83
148	37	38	79	81	83
149	38	39	79	82	84
150	38	39	81	82	84
151	38	39	81	83	85
152	38	39	82	83	85
153	39	40	82	83	86
154	39	40	82	83	86
155	39	40	83	84	87
156	39	40	83	85	87
157	40	41	84	85	88
158	40	41	84	85	88
159	40	41	85	87	89
160	40	41	85	90	91
161	41	42	86	89	91
162	41	42	86	87	91
163	41	42	87	91	92
164	41	42	87	90	92
165	42	43	88	93	94
166	42	43	88	92	94
167	42	43	89	95	96
168	42	43	89	91	96
169	43	44	90	91	96
170	43	44	90	91	96
171	43	44	91	94	96
172	43	44	93	96	97
173	44	45	93	94	97
174	44	45	93	95	97
175	44	45	94	96	97
176	44	45	94	98	99
177	45	46	96	97	99
178	45	46	96	99	100
179	45	46	98	99	100
180	45	46	98	100	101
181	46	47	98	100	101
182	46	47	98	101	102
183	46	47	98	101	103
184	46	47	99	100	103
185	47	48	99	102	104
186	47	48	99	101	104
187	47	48	99	102	104
188	47	48	101	103	105
189	48	49	101	103	105
190	48	49	102	104	106
191	48	49	102	103	106
192	48	49	103	104	107
193	49	50	103	105	107
194	49	50	104	105	108
195	49	50	105	106	108
196	49	50	105	108	109
197	50	51	106	107	109
198	50	51	106	109	110
199	50	51	106	108	110
200	50	51	107	110	112
201	51	52	107	109	112
202	51	52	108	109	112
203	51	52	108	110	112
204	51	52	109	110	113
205	52	53	109	110	113
206	52	53	110	111	114
207	52	53	110	112	114
208	52	53	111	114	115
209	53	54	111	114	116
210	53	54	112	113	116
211	53	54	112	114	116
212	53	54	114	117	119
213	54	55	114	115	119
214	54	55	114	115	119
215	54	55	114	115	119
216	54	55	115	116	119
217	55	56	115	116	119
218	55	56	116	120	122
219	55	56	116	117	122
220	55	56	117	118	122
221	56	57	118	119	122
222	56	57	118	119	122
223	56	57	118	121	122
224	56	57	121	123	124
225	57	58	121	122	124
226	57	58	121	122	124
227	57	58	121	124	125
228	57	58	121	126	127
229	58	59	121	125	127
230	58	59	124	127	128
231	58	59	124	125	128
232	58	59	124	127	128
233	59	60	124	128	130
234	59	60	124	126	130
235	59	60	124	130	131
236	59	60	126	127	131
237	60	61	126	127	131
238	60	61	126	131	132
239	60	61	127	132	134
240	60	61	129	130	134
241	61	62	129	131	134
242	61	62	130	131	134
243	61	62	130	131	134
244	61	62	130	131	134
245	62	63	132	134	135
246	62	63	132	135	136
247	62	63	133	134	136
248	62	63	133	136	137
249	63	64	133	134	137
250	139	140	141	142	143
251	139	140	141	144	145
252	139	140	141	142	145
253	139	140	141	142	145
254	140	141	142	143	145
255	140	141	142	144	146
256	140	141	142	143	146
257	140	141	142	145	147
258	141	142	143	144	147
259	141	142	143	145	147
260	141	142	143	146	148
261	141	142	143	147	148
262	142	143	145	147	149
263	142	143	147	148	149
264	142	143	147	148	150
265	142	143	147	148	150
266	143	144	147	149	151
267	143	144	148	149	151
268	143	144	148	149	152
269	143	144	149	150	152
270	144	145	149	150	153
271	144	145	149	153	154
272	144	145	150	154	155
273	144	145	150	155	156
274	145	146	151	152	156
275	145	146	151	156	158
276	145	146	152	153	158
277	145	146	152	157	159
278	146	147	153	154	159
279	146	147	153	154	159
280	146	147	154	155	159
281	146	147	154	155	159
282	147	148	155	156	159
283	147	148	156	157	159
284	147	148	157	158	160
285	147	148	158	159	160
286	148	149	158	159	161
287	148	149	160	161	162
288	148	149	160	161	162
289	148	149	161	162	163
290	149	150	161	162	163
291	149	150	161	162	164
292	149	150	161	162	164
293	149	150	161	163	165
294	150	151	161	162	165
295	150	151	161	163	166
296	150	151	162	164	166
297	150	151	162	164	167
298	151	152	163	166	167
299	151	152	164	166	168
300	151	152	164	168	169
301	151	152	165	166	169
302	152	153	165	169	171
303	152	153	166	168	171
304	152	153	166	167	171
305	152	153	167	168	171
306	153	154	167	168	171
307	153	154	168	169	172
308	153	154	168	170	172
309	153	154	169	171	173
310	154	155	169	172	173
311	154	155	170	172	174
312	154	155	171	173	174
313	154	155	171	173	175
314	155	156	173	174	175
315	155	156	173	174	176
316	155	156	173	174	176
317	155	156	173	174	177
318	156	157	173	175	177
319	156	157	174	175	178
320	156	157	174	176	178
321	156	157	175	177	179
322	157	158	175	178	179
323	157	158	176	178	180
324	157	158	176	180	181
325	157	158	177	178	181
326	158	159	177	182	183
327	158	159	178	182	183
328	158	159	178	179	183
329	158	159	179	184	185
330	159	160	179	180	185
331	159	160	180	184	186
332	159	160	180	181	186
333	159	160	181	182	186
334	160	161	181	182	186
335	160	161	182	183	186
336	160	161	183	184	186
337	160	161	183	185	187
338	161	162	185	186	187
339	161	162	185	186	188
340	161	162	185	186	188
341	161	162	187	188	189
342	162	163	187	188	189
343	162	163	188	189	190
344	162	163	188	189	190
345	162	163	188	189	191
346	163	164	188	191	192
347	163	164	188	189	192
348	163	164	188	193	194
349	163	164	189	193	194
350	164	165	189	190	194
351	164	165	190	195	196
352	164	165	190	191	196
353	164	165	191	195	197
354	165	166	191	192	197
355	165	166	192	193	197
356	165	166	192	193	197
357	165	166	193	194	197
358	166	167	194	195	197
359	166	167	194	196	198
360	166	167	196	197	198
361	166	167	196	197	199
362	167	168	196	197	199
363	167	168	198	199	200
364	167	168	198	199	200
365	167	168	199	200	201
366	168	169	199	200	201
367	168	169	199	200	202
368	168	169	199	202	203
369	168	169	199	200	203
370	169	170	199	204	205
371	169	170	200	204	205
372	169	170	200	201	205
373	169	170	201	206	207
374	170	171	201	202	207
375	170	171	202	206	208
376	170	171	202	203	208
377	170	171	203	204	208
378	171	172	203	204	208
379	171	172	204	205	208
380	171	172	205	206	208
381	171	172	205	207	209
382	172	173	207	208	209
383	172	173	207	208	210
384	172	173	207	208	210
385	172	173	209	210	211
386	173	174	209	210	211
387	173	174	210	211	212
388	173	174	210	211	212
389	173	174	210	211	213
390	174	175	210	213	214
391	174	175	210	211	214
392	174	175	210	215	216
393	174	175	211	215	216
394	175	176	211	212	216
395	175	176	212	217	218
396	175	176	212	213	218
397	175	176	213	217	219
398	176	177	213	214	219
399	176	177	214	215	219
400	176	177	214	215	219
401	176	177	215	216	219
402	177	178	216	217	219
403	177	178	216	218	220
404	177	178	218	219	220
405	177	178	218	219	221
406	178	179	218	219	221
407	178	179	220	221	222
408	178	179	220	221	222
409	178	179	221	222	223
410	179	180	221	222	223
411	179	180	221	222	224
412	179	180	221	224	225
413	179	180	221	222	225
414	180	181	221	226	227
415	180	181	222	226	227
416	180	181	222	223	227
417	180	181	223	228	229
418	181	182	223	224	229
419	181	182	224	228	229
420	181	182	224	230	231
421	181	182	225	230	231
422	182	183	225	226	231
423	182	183	226	227	231
424	182	183	227	230	232
425	182	183	227	228	232
